latitude,longitude,censo_2022_estabelecimento_outras_finalidades_poi_counts,censo_2022_domicilio_particular_poi_counts,censo_2022_estabelecimento_construcao_poi_counts,censo_2022_estabelecimento_religioso_poi_counts,censo_2022_estabelecimento_ensino_poi_counts,censo_2022_estabelecimento_saude_poi_counts,censo_2022_domicilio_coletivo_poi_counts,censo_2022_estabelecimento_agro_poi_counts
-20.367004,-50.52266,0,0,0,0,0,0,0,0
-20.26756,-50.524742,66,674,15,3,1,0,1,0
-20.273819,-50.466503,0,6,0,0,0,0,0,1
-20.2362,-50.51193,0,7,0,0,0,0,0,7
-20.268064,-50.514954,30,8,4,0,0,0,1,4
-20.272902,-50.465126,0,6,0,0,0,0,0,2
-20.292376,-50.537804,24,329,19,1,0,0,2,3
-20.286562,-50.549316,69,1027,24,2,2,1,0,1
-20.255772,-50.553776,138,725,15,2,3,1,0,2
-20.290075,-50.500134,0,6,0,0,0,0,0,4
-20.254759,-50.55307,118,865,16,2,3,1,0,1
-20.249166,-50.593903,4,10,0,0,0,0,0,6
-20.270212,-50.53715,207,1719,27,6,6,2,0,0
-20.345324,-50.616184,0,3,0,0,0,0,0,3
-20.288956,-50.539314,62,699,36,2,0,0,0,0
-20.271868,-50.49784,1,19,1,0,0,0,0,9
-20.269377,-50.55538,225,1426,42,3,0,48,1,0
-20.30219,-50.538185,5,44,2,0,0,0,0,2
-20.260134,-50.54982,254,838,19,3,6,3,1,2
-20.266523,-50.528744,166,776,12,4,1,0,1,0
-20.342869,-50.659817,0,0,0,0,0,0,0,0
-20.15285,-50.59149,0,1,0,0,0,0,0,2
-20.304276,-50.62131,0,6,0,0,1,0,0,5
-20.271553,-50.579094,0,7,0,0,0,0,0,5
-20.279522,-50.501774,0,11,0,0,0,0,0,7
-20.268595,-50.523605,36,633,14,4,1,0,1,0
-20.245764,-50.558777,54,871,19,1,2,2,0,1
-20.25995,-50.560555,17,12,3,0,1,3,0,1
-20.163622,-50.564377,0,2,0,0,0,0,0,2
-20.355183,-50.6203,0,0,0,0,0,0,0,0
-20.273281,-50.502357,0,14,0,0,0,0,0,9
-20.238111,-50.468704,0,2,0,0,0,0,0,2
-20.333649,-50.497826,0,6,0,0,0,0,0,5
-20.287666,-50.542526,99,461,21,1,3,0,0,0
-20.202967,-50.518494,0,0,0,0,0,0,0,0
-20.18963,-50.586334,0,2,0,0,0,0,0,2
-20.290447,-50.48065,0,6,0,0,0,0,0,4
-20.2573,-50.50367,1,3,1,0,0,0,0,1
-20.17939,-50.530518,0,8,0,0,0,0,0,6
-20.395973,-50.60678,0,1,0,0,0,0,0,0
-20.375725,-50.499184,0,11,0,0,0,0,0,4
-20.258821,-50.55194,221,798,20,3,5,2,1,2
-20.29698,-50.59576,0,3,0,0,0,0,0,3
-20.268967,-50.528175,138,1407,16,6,2,1,1,0
-20.267136,-50.527847,150,946,18,6,1,0,1,0
-20.267118,-50.568142,3,87,2,0,0,0,0,2
-20.268356,-50.51288,46,25,4,0,0,0,1,10
-20.288628,-50.55586,28,552,17,1,1,0,1,0
-20.257206,-50.547955,201,875,50,1,4,0,0,0
-20.275145,-50.541775,201,1609,28,6,7,14,2,0
-20.360083,-50.485485,0,0,0,0,0,0,0,0
-20.273684,-50.559734,100,1155,37,1,5,1,0,0
-20.3481,-50.528637,0,2,0,0,0,0,0,1
-20.268478,-50.54901,1009,1058,41,2,5,78,9,0
-20.26624,-50.548847,729,984,38,4,6,37,5,0
-20.395205,-50.517147,0,0,0,0,0,0,0,0
-20.287157,-50.554214,37,763,30,1,2,1,1,0
-20.344332,-50.510464,0,5,0,0,0,0,0,3
-20.226177,-50.51006,0,4,0,0,0,0,0,4
-20.326292,-50.591232,0,9,0,0,0,0,0,5
-20.301111,-50.569508,0,8,0,0,0,0,0,4
-20.284773,-50.53796,10,519,33,1,1,0,0,0
-20.309374,-50.55169,6,5,1,0,0,0,0,3
-20.32922,-50.58346,0,7,0,0,0,0,0,3
-20.325895,-50.627083,0,0,0,0,0,0,0,1
-20.271278,-50.50733,72,36,6,0,0,0,0,8
-20.179018,-50.521057,0,1,0,0,0,0,0,1
-20.251436,-50.586475,1,5,0,0,0,0,0,6
-20.273407,-50.537315,163,1848,30,5,3,3,0,0
-20.272167,-50.54131,315,1547,27,4,7,19,3,0
-20.290377,-50.531723,1,25,1,0,0,0,0,3
-20.24174,-50.537605,0,10,0,0,0,0,0,7
-20.336412,-50.509964,0,4,0,0,0,0,0,3
-20.175528,-50.602158,0,19,0,0,0,0,0,13
-20.260338,-50.552452,213,663,18,2,2,4,1,2
-20.240068,-50.51555,0,16,0,0,0,0,0,13
-20.230951,-50.5359,2,9,1,0,0,0,0,7
-20.323261,-50.595722,0,10,0,0,0,0,0,10
-20.347643,-50.52408,1,11,0,1,0,0,0,6
-20.262203,-50.575848,0,6,0,0,0,0,0,4
-20.315601,-50.508034,1,6,0,0,0,1,0,4
-20.294373,-50.500774,2,3,0,0,0,0,0,2
-20.37218,-50.615555,0,0,0,0,0,0,0,0
-20.334246,-50.572365,1,6,0,0,0,0,0,9
-20.25994,-50.560497,18,12,4,0,1,3,0,1
-20.233526,-50.511944,0,6,0,0,0,0,0,6
-20.190458,-50.589535,0,2,0,0,0,0,0,2
-20.25122,-50.5874,3,2,0,0,0,0,0,4
-20.365622,-50.47932,0,1,0,0,0,0,0,1
-20.268349,-50.55929,42,1067,20,1,0,0,0,0
-20.278032,-50.52949,26,790,28,3,0,0,0,2
-20.258738,-50.550045,257,948,23,2,4,1,1,2
-20.203386,-50.576145,0,7,0,0,0,0,0,6
-20.331934,-50.52025,0,4,0,0,0,0,0,3
-20.202026,-50.53817,0,4,0,0,0,0,0,4
-20.261665,-50.551296,227,758,16,3,4,4,1,2
-20.160002,-50.58053,0,2,0,0,0,0,0,0
-20.263193,-50.552773,154,830,17,2,4,7,1,1
-20.270258,-50.53528,206,1762,22,7,5,1,0,0
-20.263477,-50.46129,0,3,0,0,0,0,0,2
-20.251104,-50.529167,3,6,0,0,0,0,0,3
-20.256647,-50.563427,6,24,1,0,0,0,0,16
-20.244797,-50.55576,61,1364,52,1,2,1,0,0
-20.254515,-50.5511,126,976,33,2,4,1,0,0
-20.328428,-50.50764,1,2,0,0,0,0,0,0
